# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 1.00e+02
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    8.385172e-02
# n      =   -2.655483e+00
# alpha  =   -1.552019e-01
# B      =    3.644610e+00
# beta   =    3.156565e-01
# lambda =    4.270131e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 15 21
# 0 168 175 172 144 152 134 126 90 103 100 81 53 32 9 5 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
1.800   0.000000e+00   2.200000e-03   1.100000e-03   6.781677e+00  -4.214557e-01   6.360221e+00   3.943239e-01   6.155301e+00   1.746254e-01   6.402131e+00
1.800   2.200000e-03   4.400000e-03   3.300000e-03   7.642610e+00  -5.751191e-02   7.585098e+00   3.892322e-01   7.494662e+00   1.798326e-01   7.372342e+00
1.800   4.400000e-03   6.600000e-03   5.500000e-03   6.815511e+00   1.039135e-01   6.919424e+00   3.496628e-01   6.831828e+00   1.754442e-01   6.552470e+00
1.800   6.600000e-03   8.800000e-03   7.700000e-03   5.922460e+00  -1.320250e-01   5.790435e+00   3.055583e-01   5.741682e+00   1.712243e-01   5.702483e+00
1.800   8.800000e-03   1.107854e-02   9.939272e-03   5.122550e+00   2.646841e-03   5.125197e+00   2.603762e-01   5.113639e+00   1.667187e-01   4.944274e+00
1.800   1.107854e-02   1.394706e-02   1.251280e-02   4.350378e+00  -4.045790e-01   3.945799e+00   1.954704e-01   3.961613e+00   1.616383e-01   4.204554e+00
1.800   1.394706e-02   1.755831e-02   1.575268e-02   3.565634e+00  -2.248601e-01   3.340774e+00   1.421805e-01   3.378247e+00   1.553325e-01   3.447775e+00
1.800   1.755831e-02   2.210460e-02   1.983145e-02   2.804272e+00  -1.898594e-01   2.614413e+00   9.969647e-02   2.669423e+00   1.475749e-01   2.711707e+00
1.800   2.210460e-02   2.782804e-02   2.496632e-02   2.102280e+00   3.825248e-02   2.140532e+00   6.701314e-02   2.208198e+00   1.381733e-01   2.031772e+00
1.800   2.782804e-02   3.503343e-02   3.143074e-02   1.491836e+00  -8.319959e-03   1.483516e+00   4.296275e-02   1.558258e+00   1.267348e-01   1.439843e+00
1.800   3.503343e-02   4.410448e-02   3.956895e-02   9.956566e-01   2.098419e-02   1.016641e+00   2.619051e-02   1.092873e+00   1.130271e-01   9.588615e-01
1.800   4.410448e-02   5.552425e-02   4.981436e-02   6.218246e-01  -9.962192e-03   6.118624e-01   1.518461e-02   6.842342e-01   9.703441e-02   5.971620e-01
1.800   5.552425e-02   6.990088e-02   6.271257e-02   3.622548e-01   1.035921e-02   3.726140e-01   8.408090e-03   4.364327e-01   7.925458e-02   3.468189e-01
1.800   6.990088e-02   8.800000e-02   7.895044e-02   1.965172e-01   5.177817e-03   2.016951e-01   4.480707e-03   2.537161e-01   6.093981e-02   1.875985e-01
1.800   8.800000e-02   1.107854e-01   9.939272e-02   9.921825e-02   3.775327e-03   1.029936e-01   2.321434e-03   1.420869e-01   4.379197e-02   9.451957e-02
