# This version is build by the following options:
# Fisher optimization: OFF
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Velocity Spacing: LOGARITHMIC
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargAmp: 1.00e+02
# ContinuumMargDerv: 0.00e+00
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 12 19
# 0 290716 222886 115579 77873 44863 24014 11763 7766 3749 761 30 0 0 
    z             k1             k2             kc           Pfid         ThetaP           Pest         ErrorP              d              b              t
2.000   0.000000e+00   1.000000e-03   5.000000e-04   6.100020e+00   7.522748e-02   6.175248e+00   4.254194e-02   2.597196e+01   2.007935e+01   5.817376e+00
2.000   1.000000e-03   2.000000e-03   1.500000e-03   9.655045e+00  -5.844946e-02   9.596596e+00   4.369340e-02   2.967492e+01   2.014529e+01   9.588080e+00
2.000   2.000000e-03   3.000000e-03   2.500000e-03   1.023268e+01   1.211938e-01   1.035387e+01   4.481044e-02   3.049368e+01   2.027812e+01   1.009436e+01
2.000   3.000000e-03   4.000000e-03   3.500000e-03   9.992506e+00   8.269940e-03   1.000078e+01   4.479828e-02   3.034180e+01   2.048124e+01   9.852288e+00
2.000   4.000000e-03   5.000000e-03   4.500000e-03   9.494398e+00  -3.427244e-02   9.460125e+00   4.443222e-02   3.008259e+01   2.074990e+01   9.366960e+00
2.000   5.000000e-03   6.294627e-03   5.647314e-03   8.837830e+00  -4.255168e-02   8.795279e+00   3.784331e-02   2.983332e+01   2.115134e+01   8.724530e+00
2.000   6.294627e-03   7.924466e-03   7.109547e-03   8.008429e+00   2.409713e-02   8.032526e+00   3.296761e-02   2.974740e+01   2.181412e+01   7.909193e+00
2.000   7.924466e-03   9.976312e-03   8.950389e-03   7.056831e+00  -1.374854e-02   7.043083e+00   2.911494e-02   2.986833e+01   2.290688e+01   6.975196e+00
2.000   9.976312e-03   1.255943e-02   1.126787e-02   6.029857e+00   3.115423e-02   6.061011e+00   2.635888e-02   3.074940e+01   2.474956e+01   5.968691e+00
2.000   1.255943e-02   1.581139e-02   1.418541e-02   4.976491e+00   1.669632e-02   4.993187e+00   2.492275e-02   3.292174e+01   2.796608e+01   4.938962e+00
2.000   1.581139e-02   1.990536e-02   1.785837e-02   3.946638e+00   1.878725e-03   3.948517e+00   2.535184e-02   3.783284e+01   3.389483e+01   3.936127e+00
2.000   1.990536e-02   2.505936e-02   2.248236e-02   2.989171e+00   2.810002e-02   3.017271e+00   2.903224e-02   4.883324e+01   4.579671e+01   3.008435e+00
2.000   2.505936e-02   3.154787e-02   2.830361e-02   2.147817e+00   1.325784e-02   2.161074e+00   3.999298e-02   7.530561e+01   7.309539e+01   2.196965e+00
2.000   3.154787e-02   3.971641e-02   3.563214e-02   1.454679e+00  -5.911597e-02   1.395563e+00   7.277169e-02   1.515297e+02   1.500604e+02   1.528422e+00
2.000   3.971641e-02   5.000000e-02   4.485821e-02   9.236735e-01   6.958633e-02   9.932599e-01   1.997205e-01   4.491267e+02   4.480479e+02   1.009195e+00
2.000   5.000000e-02   6.294627e-02   5.647314e-02   5.478220e-01   1.503945e+00   2.051767e+00   1.006364e+00   2.337030e+03   2.334903e+03   6.233625e-01
2.000   6.294627e-02   7.924466e-02   7.109547e-02   3.029084e-01   2.409735e+01   2.440026e+01   1.271956e+01   2.874545e+04   2.872105e+04   3.009920e-01
2.000   7.924466e-02   9.976312e-02   8.950389e-02   1.560741e-01  -2.971296e+02  -2.969735e+02   6.751199e+02   1.413812e+06   1.414111e+06  -2.203947e+00
2.000   9.976312e-02   1.255943e-01   1.126787e-01   7.498465e-02   3.018711e+05   3.018712e+05   3.140731e+05   5.374038e+08   5.371027e+08  -7.983056e+02
2.200   0.000000e+00   1.000000e-03   5.000000e-04   7.695189e+00  -2.860473e-02   7.666584e+00   4.515831e-02   2.906564e+01   2.193435e+01   7.159891e+00
2.200   1.000000e-03   2.000000e-03   1.500000e-03   1.262060e+01  -3.531648e-02   1.258528e+01   4.849558e-02   3.449617e+01   2.200738e+01   1.252411e+01
2.200   2.000000e-03   3.000000e-03   2.500000e-03   1.342897e+01   1.728018e-02   1.344625e+01   4.999468e-02   3.554378e+01   2.215528e+01   1.337122e+01
2.200   3.000000e-03   4.000000e-03   3.500000e-03   1.310376e+01  -2.935163e-02   1.307441e+01   4.991233e-02   3.540361e+01   2.237700e+01   1.305596e+01
2.200   4.000000e-03   5.000000e-03   4.500000e-03   1.242154e+01   2.891288e-02   1.245045e+01   4.939610e-02   3.508607e+01   2.267408e+01   1.238307e+01
2.200   5.000000e-03   6.294627e-03   5.647314e-03   1.152272e+01  -5.044207e-02   1.147228e+01   4.239269e-02   3.455722e+01   2.311675e+01   1.149091e+01
2.200   6.294627e-03   7.924466e-03   7.109547e-03   1.039100e+01  -2.971787e-02   1.036128e+01   3.706052e-02   3.418165e+01   2.384482e+01   1.036655e+01
2.200   7.924466e-03   9.976312e-03   8.950389e-03   9.099801e+00   3.287834e-02   9.132679e+00   3.275046e-02   3.416311e+01   2.504480e+01   9.085426e+00
2.200   9.976312e-03   1.255943e-02   1.126787e-02   7.717224e+00   1.616963e-02   7.733393e+00   2.960492e-02   3.479905e+01   2.706649e+01   7.716387e+00
2.200   1.255943e-02   1.581139e-02   1.418541e-02   6.313216e+00   1.705669e-02   6.330273e+00   2.790920e-02   3.693953e+01   3.059195e+01   6.330524e+00
2.200   1.581139e-02   1.990536e-02   1.785837e-02   4.956818e+00  -4.262738e-02   4.914190e+00   2.829024e-02   4.203653e+01   3.708146e+01   4.997697e+00
2.200   1.990536e-02   2.505936e-02   2.248236e-02   3.712770e+00   6.565996e-02   3.778430e+00   3.229640e-02   5.393218e+01   5.008463e+01   3.781894e+00
2.200   2.505936e-02   3.154787e-02   2.830361e-02   2.635838e+00   2.721431e-02   2.663052e+00   4.439891e-02   8.258893e+01   7.982759e+01   2.734133e+00
2.200   3.154787e-02   3.971641e-02   3.563214e-02   1.762775e+00   1.225581e-01   1.885333e+00   8.071232e-02   1.653478e+02   1.633411e+02   1.884171e+00
2.200   3.971641e-02   5.000000e-02   4.485821e-02   1.105033e+00   1.646275e-01   1.269660e+00   2.213903e-01   4.861355e+02   4.847357e+02   1.235197e+00
