# This version is build by the following options:
# Fisher optimization: ON
# Redshift binning shape: Triangular
# Redshift growth scaling: OFF
# Using following configuration parameters:
# Fiducial Signal Baseline: ON
# Input is delta flux: YES
# Divide by mean flux of the chunk: OFF
# ContinuumMargOrder: 1
# Fiducial Power Spectrum
# Pfid(k, z) = (A*pi/k0) * q^(2+n+alpha*ln(q)+beta*ln(x)) * x^B / (1 + lambda * k^2)
# k0=0.009 s km^-1, z0=3.0 and q=k/k0, x=(1+z)/(1+z0)
# Parameters set by config file:
# A      =    6.621420e-02
# n      =   -2.685349e+00
# alpha  =   -2.232763e-01
# B      =    3.591244e+00
# beta   =   -1.768045e-01
# lambda =    3.598261e+02
# -----------------------------------------------------------------
# File Template
# Nz Nk
# n[0] n[1] ... n[Nz] n[Nz+1]
# z | k1 | k2 | kc | Pfid | ThetaP | Pest | ErrorP | d | b | t
# Nz     : Number of redshift bins
# Nk     : Number of k bins
# n[i]   : Spectral chunk count in redshift bin i. Left-most and right-most are out of range
# z      : Redshift bin center
# k1     : Lower edge of the k bin [s km^-1]
# k2     : Upper edge of the k bin [s km^-1]
# kc     : Center of the k bin [s km^-1]
# Pfid   : Fiducial power at kc [km s^-1]
# ThetaP : Deviation from Pfid found by quadratic estimator = d - b - t [km s^-1]
# Pest   : Pfid + ThetaP [km s^-1]
# ErrorP : Error estimated from diagonal terms of the inverse Fisher matrix [km s^-1]
# d      : Power estimate before noise (b) and fiducial power (t) subtracted [km s^-1]
# b      : Noise estimate [km s^-1]
# t      : Fiducial power estimate [km s^-1]
# -----------------------------------------------------------------
# 14 42
# 106 258253 206234 106186 72391 41529 22157 11277 7196 8325 4459 59 0 0 0 0
z k1 k2 kc Pfid ThetaP Pest ErrorP d b t
2.000 0.00000e+00 5.00000e-04 2.50000e-04 3.99613e+00 2.02368e-02 4.01636e+00 5.47384e-02 1.15888e-310 1.15888e-310 1.15888e-310
2.000 5.00000e-04 1.00000e-03 7.50000e-04 7.55855e+00 -3.59784e-03 7.55496e+00 4.29322e-02 2.41859e-316 2.41859e-316 2.41859e-316
2.000 1.00000e-03 1.50000e-03 1.25000e-03 9.21206e+00 2.68426e-02 9.23890e+00 4.67319e-02 2.41859e-316 2.41859e-316 2.41859e-316
2.000 1.50000e-03 2.00000e-03 1.75000e-03 9.94081e+00 7.19473e-02 1.00128e+01 4.91538e-02 2.41859e-316 2.41859e-316 2.41859e-316
2.000 2.00000e-03 2.50000e-03 2.25000e-03 1.02036e+01 5.96113e-03 1.02096e+01 5.01540e-02 -1.69623e-07 3.71998e-06 1.46076e-05
2.000 2.50000e-03 3.00000e-03 2.75000e-03 1.02161e+01 -5.30471e-02 1.01631e+01 5.03142e-02 -1.70578e-07 -1.16964e-04 3.56448e-05
2.000 3.00000e-03 3.50000e-03 3.25000e-03 1.00886e+01 -6.77448e-02 1.00209e+01 5.00209e-02 -1.71538e-07 -8.68058e-05 1.16803e-05
2.000 3.50000e-03 4.00000e-03 3.75000e-03 9.88170e+00 8.75393e-02 9.96924e+00 4.94605e-02 -1.72505e-07 4.56130e-05 -2.86077e-05
2.000 4.00000e-03 4.50000e-03 4.25000e-03 9.63009e+00 2.50991e-02 9.65519e+00 4.87577e-02 -1.73478e-07 1.10478e-04 -3.37622e-05
2.000 4.50000e-03 5.00000e-03 4.75000e-03 9.35463e+00 7.35796e-02 9.42820e+00 4.79854e-02 -1.74458e-07 3.64838e-05 4.08945e-06
2.000 5.00000e-03 5.50000e-03 5.25000e-03 9.06806e+00 -5.12544e-02 9.01681e+00 4.71849e-02 -1.75444e-07 -7.14601e-05 3.74992e-05
2.000 5.50000e-03 6.00000e-03 5.75000e-03 8.77835e+00 7.54809e-03 8.78590e+00 4.63873e-02 -1.76437e-07 -8.02472e-05 2.37877e-05
2.000 6.00000e-03 6.50000e-03 6.25000e-03 8.49050e+00 3.12752e-02 8.52178e+00 4.56098e-02 -1.77436e-07 5.74554e-06 -1.99065e-05
2.000 6.50000e-03 7.00000e-03 6.75000e-03 8.20763e+00 -4.54581e-02 8.16218e+00 4.48640e-02 -1.78441e-07 6.95004e-05 -3.82702e-05
2.000 7.00000e-03 7.50000e-03 7.25000e-03 7.93169e+00 -7.98723e-03 7.92370e+00 4.41583e-02 -1.79454e-07 4.09823e-05 -8.54017e-06
2.000 7.50000e-03 8.00000e-03 7.75000e-03 7.66383e+00 -7.70729e-03 7.65612e+00 4.34967e-02 -1.80473e-07 -2.66620e-05 3.09921e-05
2.000 8.00000e-03 8.50000e-03 8.25000e-03 7.40467e+00 -6.83202e-02 7.33635e+00 4.28831e-02 -1.81499e-07 -4.61579e-05 3.07536e-05
2.000 8.50000e-03 9.00000e-03 8.75000e-03 7.15453e+00 -4.34186e-02 7.11111e+00 4.23181e-02 -1.82532e-07 -9.58164e-06 -7.31271e-06
2.000 9.00000e-03 9.50000e-03 9.25000e-03 6.91347e+00 -5.10189e-02 6.86245e+00 4.17772e-02 -1.83572e-07 2.23590e-05 -3.42679e-05
2.000 9.50000e-03 1.00000e-02 9.75000e-03 6.68140e+00 -7.75000e-02 6.60390e+00 4.07540e-02 -1.84618e-07 1.57085e-05 -1.76781e-05
2.000 1.00000e-02 1.12202e-02 1.06101e-02 6.30269e+00 -4.22295e-02 6.26046e+00 2.29021e-02 -1.85672e-07 -1.50374e-06 1.90135e-05
2.000 1.12202e-02 1.25892e-02 1.19047e-02 5.77887e+00 -9.71168e-02 5.68175e+00 2.09764e-02 -1.86733e-07 5.73067e-07 2.94879e-05
2.000 1.25892e-02 1.41254e-02 1.33573e-02 5.25141e+00 -6.47965e-02 5.18662e+00 1.95073e-02 -1.87801e-07 5.59318e-06 3.60766e-06
2.000 1.41254e-02 1.58489e-02 1.49871e-02 4.72658e+00 -5.23665e-02 4.67421e+00 1.84336e-02 -1.88876e-07 -1.09626e-05 -2.34958e-05
2.000 1.58489e-02 1.77828e-02 1.68159e-02 4.21061e+00 -9.22840e-02 4.11833e+00 1.78423e-02 -1.89958e-07 -2.79742e-05 -1.92744e-05
2.000 1.77828e-02 1.99526e-02 1.88677e-02 3.70967e+00 -8.62141e-02 3.62346e+00 1.79014e-02 -1.91048e-07 -6.04488e-06 6.81366e-06
2.000 1.99526e-02 2.23872e-02 2.11699e-02 3.22971e+00 -1.24319e-01 3.10539e+00 1.89466e-02 -1.92145e-07 3.99239e-05 2.04986e-05
2.000 2.23872e-02 2.51189e-02 2.37530e-02 2.77627e+00 -9.72588e-02 2.67901e+00 2.16991e-02 -1.93250e-07 4.39536e-05 8.05114e-06
2.000 2.51189e-02 2.81838e-02 2.66514e-02 2.35432e+00 -9.98855e-02 2.25444e+00 2.78780e-02 -1.94362e-07 -1.68632e-05 -1.06269e-05
2.000 2.81838e-02 3.16228e-02 2.99033e-02 1.96798e+00 -1.53418e-01 1.81456e+00 4.21579e-02 -1.95452e-07 -7.10073e-05 -1.25837e-05
2.000 3.16228e-02 3.54813e-02 3.35521e-02 1.62029e+00 -2.35732e-01 1.38456e+00 7.94017e-02 -1.96579e-07 -3.73291e-05 -2.93723e-07
2.000 3.54813e-02 3.98107e-02 3.76460e-02 1.31307e+00 -1.81564e-01 1.13151e+00 1.96329e-01 -1.97714e-07 5.54776e-05 7.64912e-06
2.200 0.00000e+00 5.00000e-04 2.50000e-04 4.78729e+00 -2.19869e-02 4.76530e+00 3.90906e-02 -2.10723e-07 1.23820e-04 -1.94178e-05
2.200 5.00000e-04 1.00000e-03 7.50000e-04 9.71326e+00 -2.94107e-02 9.68385e+00 3.84195e-02 -2.11955e-07 8.74532e-05 -5.56553e-06
2.200 1.00000e-03 1.50000e-03 1.25000e-03 1.20051e+01 2.81898e-02 1.20333e+01 4.43088e-02 -2.13196e-07 -5.94246e-05 1.91453e-05
2.200 1.50000e-03 2.00000e-03 1.75000e-03 1.30185e+01 2.54433e-02 1.30440e+01 4.72319e-02 -2.14445e-07 -1.30899e-04 2.19998e-05
2.200 2.00000e-03 2.50000e-03 2.25000e-03 1.33867e+01 2.37942e-03 1.33891e+01 4.83769e-02 -2.15703e-07 -3.76884e-05 -4.71509e-06
2.200 2.50000e-03 3.00000e-03 2.75000e-03 1.34080e+01 6.48884e-02 1.34728e+01 4.85595e-02 -2.16970e-07 1.00199e-04 -2.87655e-05
2.200 3.00000e-03 3.50000e-03 3.25000e-03 1.32351e+01 3.33221e-02 1.32684e+01 4.82128e-02 -2.18245e-07 1.09401e-04 -1.72285e-05
2.200 3.50000e-03 4.00000e-03 3.75000e-03 1.29521e+01 -1.88270e-02 1.29333e+01 4.75688e-02 -2.19530e-07 -1.66413e-05 1.83348e-05
2.200 4.00000e-03 4.50000e-03 4.25000e-03 1.26075e+01 3.58089e-02 1.26433e+01 4.67616e-02 -2.20824e-07 -1.15624e-04 3.28910e-05
2.200 4.50000e-03 5.00000e-03 4.75000e-03 1.22301e+01 -1.00124e-01 1.21299e+01 4.58702e-02 -2.22126e-07 -6.72695e-05 5.53846e-06
2.200 5.00000e-03 5.50000e-03 5.25000e-03 1.18377e+01 -1.66800e-02 1.18210e+01 4.49430e-02 -2.23438e-07 5.91630e-05 -3.06975e-05
2.200 5.50000e-03 6.00000e-03 5.75000e-03 1.14414e+01 -9.36607e-02 1.13477e+01 4.40113e-02 -2.24758e-07 1.03399e-04 -2.91110e-05
