# HeatAmp, HeatExp, z_reion, z, <F>, T0, gamma, kF_Mpc
2.757000000000000117e+00 -4.500000000000001776e-01 1.190500000000000114e+01 4.000000000000000000e+00 4.619149193988506541e-01 2.049031249325911267e+04 1.194262901862984227e+00 1.976909107627717432e+01
2.757000000000000117e+00 -4.500000000000001776e-01 1.190500000000000114e+01 2.000000000000000000e+00 8.795292943225078153e-01 1.635103356780436661e+04 1.309207137349901240e+00 1.456190360719633325e+01
2.757000000000000117e+00 -4.500000000000001776e-01 1.190500000000000114e+01 3.000000000000000000e+00 7.247368524118791289e-01 2.059721721976804110e+04 1.255857782381738286e+00 1.765931615173296620e+01
1.083000000000000185e+00 -1.409999999999999920e+00 6.025000000000000355e+00 4.000000000000000000e+00 3.987762728316922023e-01 1.096600649818918646e+04 6.952945039484588197e-01 3.796208972790621772e+01
1.083000000000000185e+00 -1.409999999999999920e+00 6.025000000000000355e+00 2.000000000000000000e+00 8.350405655840571484e-01 7.900564114109713046e+03 8.460524882561297755e-01 2.386142969764181032e+01
1.083000000000000185e+00 -1.409999999999999920e+00 6.025000000000000355e+00 3.000000000000000000e+00 6.651967727570511357e-01 1.008397495181846352e+04 7.736051791718664417e-01 3.006927543910666500e+01
1.191000000000000059e+00 -9.000000000000007994e-02 5.605000000000000426e+00 4.000000000000000000e+00 3.708759576811256342e-01 1.385156642976622607e+04 1.250705267470496818e+00 3.582456503360687350e+01
1.191000000000000059e+00 -9.000000000000007994e-02 5.605000000000000426e+00 2.000000000000000000e+00 8.424302280065432136e-01 1.064162187475634892e+04 1.472040352650210604e+00 1.427872660066032395e+01
1.191000000000000059e+00 -9.000000000000007994e-02 5.605000000000000426e+00 3.000000000000000000e+00 6.476466061259267271e-01 1.337839391305808749e+04 1.393063803685102853e+00 2.096874579797859894e+01
8.129999999999999449e-01 -1.229999999999999982e+00 9.804999999999999716e+00 4.000000000000000000e+00 4.218863677010191160e-01 7.595703242496493658e+03 7.520789021424955090e-01 3.099528200880697781e+01
8.129999999999999449e-01 -1.229999999999999982e+00 9.804999999999999716e+00 2.000000000000000000e+00 8.434839783661562951e-01 6.509261856205699587e+03 9.079943518158978266e-01 2.248959953496636999e+01
8.129999999999999449e-01 -1.229999999999999982e+00 9.804999999999999716e+00 3.000000000000000000e+00 6.827338468532967442e-01 8.086706570437051596e+03 8.611360354554142837e-01 2.776595887649040151e+01
2.702999999999999847e+00 -1.350000000000000089e+00 1.568500000000000050e+01 4.000000000000000000e+00 4.610481103800372349e-01 1.727333466938497804e+04 6.646290586444499882e-01 2.231315475687004835e+01
2.702999999999999847e+00 -1.350000000000000089e+00 1.568500000000000050e+01 2.000000000000000000e+00 8.633892774232461154e-01 1.396676295117412519e+04 8.518502242940331204e-01 2.017189049440186466e+01
2.702999999999999847e+00 -1.350000000000000089e+00 1.568500000000000050e+01 3.000000000000000000e+00 7.145398551176964652e-01 1.762131149004711551e+04 7.826261105230527537e-01 2.312826641413850481e+01
2.487000000000000099e+00 5.700000000000002842e-01 1.337500000000000000e+01 4.000000000000000000e+00 4.044109924346787066e-01 2.289100401438502013e+04 1.804567095428437629e+00 1.466486527100597570e+01
2.487000000000000099e+00 5.700000000000002842e-01 1.337500000000000000e+01 2.000000000000000000e+00 8.914941662750467399e-01 1.909298329902457044e+04 1.870391487001932918e+00 1.037420618056363253e+01
2.487000000000000099e+00 5.700000000000002842e-01 1.337500000000000000e+01 3.000000000000000000e+00 7.145382300844310697e-01 2.352034696184713175e+04 1.850268095763012210e+00 1.211690498138824701e+01
1.515000000000000124e+00 -2.099999999999999645e-01 1.400500000000000078e+01 4.000000000000000000e+00 3.785189442536902593e-01 1.412204276433001542e+04 1.308162820570695217e+00 1.984688820394388031e+01
1.515000000000000124e+00 -2.099999999999999645e-01 1.400500000000000078e+01 2.000000000000000000e+00 8.557075079795339878e-01 1.187428184617225088e+04 1.441881762994295268e+00 1.483892090635225891e+01
1.515000000000000124e+00 -2.099999999999999645e-01 1.400500000000000078e+01 3.000000000000000000e+00 6.749216248814199348e-01 1.469468649125610682e+04 1.394955595292410200e+00 1.808705703085074035e+01
2.649000000000000021e+00 1.349999999999999645e+00 1.127500000000000036e+01 4.000000000000000000e+00 3.722942676287188113e-01 2.603804315804232101e+04 2.257860674469918116e+00 1.154223874309506215e+01
2.649000000000000021e+00 1.349999999999999645e+00 1.127500000000000036e+01 2.000000000000000000e+00 9.053135047632778765e-01 2.366792245978672872e+04 2.301966236683048894e+00 8.647895684891603096e+00
2.649000000000000021e+00 1.349999999999999645e+00 1.127500000000000036e+01 3.000000000000000000e+00 7.203374917280879197e-01 2.773668391111508390e+04 2.288120495500034046e+00 1.038572447577834801e+01
4.889999999999999902e-01 9.900000000000002132e-01 5.815000000000000391e+00 4.000000000000000000e+00 2.643247889568289821e-01 9.734343576539849892e+03 2.005936579146707643e+00 3.017746306703567072e+01
4.889999999999999902e-01 9.900000000000002132e-01 5.815000000000000391e+00 2.000000000000000000e+00 8.252326200830307767e-01 7.926494188459823818e+03 2.103176077701921720e+00 1.074014919300522131e+01
4.889999999999999902e-01 9.900000000000002132e-01 5.815000000000000391e+00 3.000000000000000000e+00 5.810051398210990259e-01 9.732040833928527718e+03 2.081322381677898292e+00 1.443664807631746960e+01
1.893000000000000016e+00 3.000000000000002665e-02 6.865000000000000213e+00 4.000000000000000000e+00 4.270409567636158088e-01 1.757678651076202368e+04 1.401330956626302360e+00 2.295777563238467778e+01
